Variavel,Importancia
TX_RESP_Q20d_Não uso meu tempo para isso,0.18758976724237825
TX_RESP_Q22_Sim,0.09496578959406336
TX_RESP_Q21_Somente trabalhar,0.08839175888824348
TX_RESP_Q21_Continuar estudando e trabalhar,0.06438157060583449
"TX_RESP_Q18_Sim, uma vez",0.06069437124238987
TX_RESP_Q20a_D,0.04473917881246848
TX_RESP_Q23a_Sempre,0.04438113724462718
TX_RESP_Q23a_Nunca ou quase nunca,0.03841719067208031
TX_RESP_Q20a_C,0.023786963773263146
TX_RESP_Q14_À pé,0.02265580339066284
TX_RESP_Q23a_Várias vezes,0.021332114719096844
TX_RESP_Q04_Branco,0.018809166752009727
TX_RESP_Q17_Somente em escola pública,0.014793821557255893
TX_RESP_Q23d_Nunca ou quase nunca,0.01346913331949935
TX_RESP_Q23d_Sempre,0.012606847991744876
TX_RESP_Q01_Masculino,0.011137520608044377
TX_RESP_Q23f_Sempre,0.011110120128650466
TX_RESP_Q23g_Sempre,0.00995954933703374
TX_RESP_Q23h_Sempre,0.009193941591340774
TX_RESP_Q23f_Várias vezes,0.008919310604876001
TX_RESP_Q23e_Sempre,0.007967242527999997
TX_RESP_Q09d_Sempre ou quase sempre,0.0072837028036031246
TX_RESP_Q23b_Várias vezes,0.0064228462541930645
TX_RESP_Q21_Somente continuar estudando,0.005080667113336254
TX_RESP_Q20e_Mais de 2 horas,0.00445856260643721
"TX_RESP_Q10_Asfalto ou Calcamento: Sim, Água tratada: Sim, Iluminacão: Sim",0.004325530093358013
TX_RESP_Q20c_Não uso meu tempo para isso,0.004289299411923574
TX_RESP_Q23c_Várias vezes,0.004210551003342556
TX_RESP_Q09d_Nunca ou quase nunca,0.0038038813298736183
TX_RESP_Q09c_Sempre ou quase sempre,0.0036874383705477252
TX_RESP_Q20e_Não uso meu tempo para isso,0.0035872891385261233
"TX_RESP_Q18_Sim, duas vezes ou mais",0.003386648679726531
TX_RESP_Q08_Ensino Superior completo,0.0032108617448276633
TX_RESP_Q11a_1,0.003183364714236691
TX_RESP_Q20c_Mais de 2 horas,0.0030343155139488866
TX_RESP_Q20a_B,0.0029404057641039473
TX_RESP_Q20e_Menos de 1 hora,0.002710930476867808
TX_RESP_Q23i_Nunca ou quase nunca,0.002685322914798644
TX_RESP_Q23e_Várias vezes,0.002385329242505764
TX_RESP_Q09f_Sempre ou quase sempre,0.0023447137676063322
TX_RESP_Q09e_Sempre ou quase sempre,0.002303590784635907
TX_RESP_Q07_Ensino Superior completo,0.0022844759935428047
TX_RESP_Q16_4 ou 5 anos,0.0022789277445290574
TX_RESP_Q11c_2,0.0022436114114948304
"TX_RESP_Q10_Asfalto ou Calcamento: Sim, Água tratada: Não, Iluminacão: Sim",0.0022426777384372274
TX_RESP_Q23f_Nunca ou quase nunca,0.0022118309185999553
TX_RESP_Q12h_B,0.002184296281261073
TX_RESP_Q23e_Nunca ou quase nunca,0.002172411896217815
TX_RESP_Q20b_Não uso meu tempo para isso,0.0021592687424895353
TX_RESP_Q11g_1,0.002149617826384283
TX_RESP_Q09a_Nunca ou quase nunca,0.002110336915787955
TX_RESP_Q04_Pardo,0.002082653244369583
TX_RESP_Q23c_Nunca ou quase nunca,0.002046368103741057
TX_RESP_Q12f_B,0.0019589844504348747
TX_RESP_Q07_Ensino Médio completo,0.0018983568043493956
TX_RESP_Q14_De ônibus,0.0018820908560459831
TX_RESP_Q13_Menos de 30 minutos,0.0018549229768043394
"TX_RESP_Q06_Mãe ou Madrasta, Pai ou Padrasto, Irmão(s) ou Irmã(s)",0.00185118948815032
