Variavel,Importancia
TX_RESP_Q17_Somente em escola pública,0.1151214696399703
TX_RESP_Q20d_Não uso meu tempo para isso,0.11484734664713636
TX_RESP_Q21_Somente trabalhar,0.07770226280407613
TX_RESP_Q22_Sim,0.0716429475760219
"TX_RESP_Q18_Sim, uma vez",0.07042686784975383
TX_RESP_Q01_Masculino,0.061815698444129916
TX_RESP_Q20a_D,0.049724653249249365
TX_RESP_Q23d_Nunca ou quase nunca,0.03548550310001074
TX_RESP_Q14_À pé,0.03510351759762728
TX_RESP_Q23f_Várias vezes,0.03492655431957931
TX_RESP_Q23a_Sempre,0.027158817559310683
TX_RESP_Q04_Branco,0.014972652553683533
TX_RESP_Q23a_Nunca ou quase nunca,0.01463800671084961
TX_RESP_Q23a_Várias vezes,0.012944897984682789
TX_RESP_Q20a_C,0.010365720669058944
TX_RESP_Q23c_Várias vezes,0.01019809620308471
TX_RESP_Q23d_Sempre,0.00810772136489169
TX_RESP_Q09d_Sempre ou quase sempre,0.007303330337919077
"TX_RESP_Q18_Sim, duas vezes ou mais",0.007216230742883158
TX_RESP_Q20c_Mais de 2 horas,0.006976886034913584
TX_RESP_Q08_Ensino Superior completo,0.0063608436054722805
TX_RESP_Q23b_Várias vezes,0.006245862302126989
TX_RESP_Q21_Continuar estudando e trabalhar,0.005839069032010496
TX_RESP_Q23f_Nunca ou quase nunca,0.005575674723701165
TX_RESP_Q11c_3 ou mais,0.0046431376135413075
TX_RESP_Q23f_Sempre,0.004313522292794175
TX_RESP_Q07_Ensino Superior completo,0.004261269698404858
TX_RESP_Q23h_Sempre,0.0041859175624151986
TX_RESP_Q04_Preto,0.004127893655390889
TX_RESP_Q23i_Nunca ou quase nunca,0.0039871447474409865
TX_RESP_Q23g_Sempre,0.0039029846470335773
TX_RESP_Q20e_Mais de 2 horas,0.0035335805788823753
TX_RESP_Q11c_1,0.0033023238995568017
TX_RESP_Q23e_Várias vezes,0.0032589144058965953
TX_RESP_Q23e_Nunca ou quase nunca,0.003223509341681625
TX_RESP_Q16_4 ou 5 anos,0.003014373639644862
