Variavel,Importancia
TX_RESP_Q21_B,0.09676494
TX_RESP_Q22_B,0.08058457
TX_RESP_Q07_F,0.048816524
TX_RESP_Q20d_D,0.046196748
TX_RESP_Q18_B,0.044455793
TX_RESP_Q20a_D,0.034733385
TX_RESP_Q17_C,0.03016173
TX_RESP_Q08_F,0.027943715
TX_RESP_Q20a_C,0.022257688
TX_RESP_Q18_C,0.018108552
TX_RESP_Q21_C,0.0149176875
TX_RESP_Q12h_B,0.01384508
TX_RESP_Q09d_C,0.013796742
TX_RESP_Q10b_B,0.012397586
TX_RESP_Q14_F,0.012355414
TX_RESP_Q04_C,0.012281917
TX_RESP_Q20e_B,0.012019709
TX_RESP_Q08_E,0.0118680075
TX_RESP_Q20e_D,0.011514074
TX_RESP_Q16_D,0.01144668
TX_RESP_Q04_B,0.011387279
TX_RESP_Q07_E,0.011215802
TX_RESP_Q20a_B,0.0111848395
TX_RESP_Q14_D,0.011077789
TX_RESP_Q05_B,0.010900891
TX_RESP_Q01_B,0.010620957
TX_RESP_Q21_D,0.01021239
TX_RESP_Q11a_B,0.010026282
TX_RESP_Q20d_B,0.009832465
TX_RESP_Q16_B,0.0087161735
TX_RESP_Q11c_C,0.008321669
TX_RESP_Q09c_C,0.008015196
TX_RESP_Q04_F,0.007932614
TX_RESP_Q02_D,0.007576092
TX_RESP_Q11c_B,0.007474843
TX_RESP_Q11h_B,0.0072551914
TX_RESP_Q20d_C,0.0070378873
TX_RESP_Q11c_D,0.006725882
TX_RESP_Q20e_C,0.0067233397
TX_RESP_Q14_E,0.0064226976
TX_RESP_Q20c_D,0.005708107
TX_RESP_Q06a_B,0.005683478
TX_RESP_Q11b_D,0.005519347
TX_RESP_Q10a_B,0.0052701607
TX_RESP_Q11g_D,0.0051171617
TX_RESP_Q11b_C,0.004962204
TX_RESP_Q09a_B,0.0048810244
TX_RESP_Q20c_C,0.00451146
TX_RESP_Q12a_B,0.004457815
TX_RESP_Q09d_B,0.004146752
TX_RESP_Q11e_B,0.0040875343
TX_RESP_Q11b_B,0.004070488
TX_RESP_Q20b_C,0.0040428787
TX_RESP_Q09c_B,0.003990079
TX_RESP_Q11e_D,0.0039877747
TX_RESP_Q06e_B,0.0039845644
TX_RESP_Q12b_B,0.003947501
TX_RESP_Q09e_C,0.003934632
TX_RESP_Q20c_B,0.003763597
TX_RESP_Q08_D,0.0037297152
TX_RESP_Q11a_D,0.0036717737
TX_RESP_Q07_B,0.0036546262
TX_RESP_Q06c_B,0.0036468564
TX_RESP_Q14_C,0.0035984174
TX_RESP_Q04_E,0.003533193
TX_RESP_Q02_F,0.0034647048
TX_RESP_Q11h_C,0.0034413082
TX_RESP_Q02_E,0.0033507897
TX_RESP_Q07_D,0.0033004682
TX_RESP_Q11g_C,0.0032366903
TX_RESP_Q02_B,0.003235087
TX_RESP_Q19_B,0.0032075436
TX_RESP_Q06b_B,0.0031203036
TX_RESP_Q15_B,0.0031058134
TX_RESP_Q10c_B,0.003038999
TX_RESP_Q03_C,0.0030107286
TX_RESP_Q06d_B,0.0030047984
TX_RESP_Q11f_B,0.002957732
TX_RESP_Q20b_D,0.0029420282
IN_PUBLICA_1,0.0028637021
TX_RESP_Q11d_D,0.0028385245
TX_RESP_Q12f_B,0.0028008132
TX_RESP_Q03_B,0.0027843602
TX_RESP_Q11h_D,0.002738061
TX_RESP_Q12i_B,0.00273214
TX_RESP_Q12d_B,0.0027176389
TX_RESP_Q12c_B,0.002677694
TX_RESP_Q09a_C,0.002644469
TX_RESP_Q09b_C,0.002631164
TX_RESP_Q02_C,0.0026300594
TX_RESP_Q09e_B,0.0025673702
TX_RESP_Q04_D,0.0025644915
TX_RESP_Q13_B,0.0025264944
TX_RESP_Q11d_B,0.0024922031
TX_RESP_Q19_C,0.0024835442
TX_RESP_Q13_C,0.0024795216
TX_RESP_Q09f_B,0.0024765315
TX_RESP_Q08_B,0.0024619158
TX_RESP_Q11a_C,0.0024420174
ID_AREA_2,0.0024163201
TX_RESP_Q09f_C,0.0024145434
TX_RESP_Q11g_B,0.0023920366
TX_RESP_Q12g_B,0.0023674844
TX_RESP_Q11f_D,0.0023521623
TX_RESP_Q11f_C,0.00229733
TX_RESP_Q11d_C,0.002290184
TX_RESP_Q14_G,0.002229123
TX_RESP_Q12e_B,0.0022142986
ID_LOCALIZACAO_2,0.0021879182
TX_RESP_Q20b_B,0.0021870686
TX_RESP_Q08_C,0.0021850045
TX_RESP_Q16_C,0.0021837247
TX_RESP_Q09b_B,0.0021731523
TX_RESP_Q11e_C,0.002108251
TX_RESP_Q17_B,0.0020556226
TX_RESP_Q14_B,0.0020059212
TX_RESP_Q07_C,0.0019423091
