Variavel,Importancia
TX_RESP_Q22_B,0.07026232
TX_RESP_Q21_B,0.06678032
TX_RESP_Q17_C,0.06409838
TX_RESP_Q18_B,0.045036815
TX_RESP_Q20a_D,0.030134263
TX_RESP_Q08_F,0.02872164
TX_RESP_Q07_F,0.0274219
TX_RESP_Q20d_D,0.02667184
TX_RESP_Q07_E,0.024909165
TX_RESP_Q04_B,0.021820951
TX_RESP_Q18_C,0.021332975
TX_RESP_Q01_B,0.021112056
TX_RESP_Q08_E,0.019723723
TX_RESP_Q11c_C,0.016214354
TX_RESP_Q14_F,0.014946206
TX_RESP_Q11c_D,0.013629831
TX_RESP_Q09d_C,0.01311368
TX_RESP_Q04_C,0.012591492
TX_RESP_Q20a_C,0.011983498
TX_RESP_Q12h_B,0.011010316
TX_RESP_Q05_B,0.010645554
TX_RESP_Q21_C,0.010203219
TX_RESP_Q07_D,0.009955847
TX_RESP_Q20c_D,0.00979851
TX_RESP_Q11c_B,0.009774574
TX_RESP_Q16_D,0.009066635
IN_PUBLICA_1,0.009058463
TX_RESP_Q20e_D,0.008873147
TX_RESP_Q14_D,0.00880869
TX_RESP_Q10b_B,0.008350612
TX_RESP_Q20a_B,0.0080515975
TX_RESP_Q04_F,0.008014158
TX_RESP_Q02_B,0.0077519077
TX_RESP_Q11h_B,0.007727962
TX_RESP_Q16_B,0.007693568
TX_RESP_Q14_E,0.007563033
TX_RESP_Q20e_C,0.0074940273
TX_RESP_Q20d_B,0.0074018836
TX_RESP_Q20e_B,0.007299985
TX_RESP_Q11b_D,0.0071769306
TX_RESP_Q21_D,0.006971485
TX_RESP_Q09c_C,0.006936492
TX_RESP_Q15_B,0.006864403
TX_RESP_Q06a_B,0.00683881
ID_AREA_2,0.0067059156
TX_RESP_Q02_D,0.005810549
TX_RESP_Q11f_B,0.0056449645
TX_RESP_Q12a_B,0.0053013116
TX_RESP_Q09e_C,0.005139161
TX_RESP_Q20d_C,0.0051219
TX_RESP_Q14_C,0.004812293
TX_RESP_Q09a_B,0.004421817
TX_RESP_Q11b_B,0.004408142
TX_RESP_Q06e_B,0.004401106
TX_RESP_Q10a_B,0.0042826612
TX_RESP_Q09c_B,0.004226357
TX_RESP_Q08_D,0.0041766325
TX_RESP_Q11a_B,0.004152577
TX_RESP_Q11b_C,0.0040809466
TX_RESP_Q20c_B,0.0040475423
TX_RESP_Q07_B,0.003987801
TX_RESP_Q13_C,0.003835871
TX_RESP_Q09a_C,0.0038341396
TX_RESP_Q11g_B,0.0037839196
TX_RESP_Q16_C,0.0037447177
TX_RESP_Q11a_D,0.0036913368
TX_RESP_Q06d_B,0.0036153337
TX_RESP_Q17_B,0.0035257193
TX_RESP_Q19_B,0.0034669628
TX_RESP_Q12b_B,0.0034369053
TX_RESP_Q11e_D,0.0033625283
TX_RESP_Q09f_B,0.003278903
TX_RESP_Q11g_D,0.0032427784
TX_RESP_Q02_F,0.003238111
TX_RESP_Q11e_B,0.0031782228
TX_RESP_Q20c_C,0.0031628297
TX_RESP_Q11h_C,0.0031383329
TX_RESP_Q13_B,0.0031338974
TX_RESP_Q14_B,0.0030803108
TX_RESP_Q09d_B,0.0030394667
TX_RESP_Q02_E,0.0030347912
TX_RESP_Q11d_B,0.0030178425
TX_RESP_Q10c_B,0.0029791852
TX_RESP_Q06c_B,0.0029723665
TX_RESP_Q20b_D,0.0029171177
TX_RESP_Q11d_D,0.0028921936
ID_LOCALIZACAO_2,0.0028859617
TX_RESP_Q04_E,0.0028689161
TX_RESP_Q03_C,0.0028587042
TX_RESP_Q12c_B,0.0028111173
TX_RESP_Q04_D,0.0028075115
TX_RESP_Q11g_C,0.0027437191
TX_RESP_Q06b_B,0.0027292778
TX_RESP_Q09b_B,0.0027282531
TX_RESP_Q08_B,0.0027172114
TX_RESP_Q12d_B,0.0027028301
TX_RESP_Q07_C,0.0026729642
TX_RESP_Q09b_C,0.0026635313
TX_RESP_Q12g_B,0.0026400618
TX_RESP_Q14_G,0.0026165883
TX_RESP_Q12i_B,0.0025515324
TX_RESP_Q09f_C,0.0025052393
TX_RESP_Q11h_D,0.0024934385
TX_RESP_Q11f_D,0.0024870099
TX_RESP_Q20b_C,0.0023955554
TX_RESP_Q12f_B,0.0022942454
TX_RESP_Q20b_B,0.0022748471
TX_RESP_Q19_C,0.0022243827
TX_RESP_Q11f_C,0.0022100778
TX_RESP_Q12e_B,0.002181614
TX_RESP_Q11d_C,0.0021665408
TX_RESP_Q11a_C,0.0021587056
TX_RESP_Q11e_C,0.0021559354
TX_RESP_Q08_C,0.0020954623
TX_RESP_Q09e_B,0.002083067
TX_RESP_Q03_B,0.0020812606
TX_RESP_Q02_C,0.0020318434
