Variavel,Importancia
TX_RESP_Q20d_Não uso meu tempo para isso,0.061452825
TX_RESP_Q22_Sim,0.03946778
TX_RESP_Q21_Somente trabalhar,0.036325112
"TX_RESP_Q18_Sim, uma vez",0.027638929
TX_RESP_Q23a_Sempre,0.025843078
TX_RESP_Q23a_Várias vezes,0.024622556
TX_RESP_Q21_Continuar estudando e trabalhar,0.021103466
TX_RESP_Q20a_D,0.019888833
TX_RESP_Q23a_Nunca ou quase nunca,0.01876663
TX_RESP_Q14_À pé,0.017734805
TX_RESP_Q04_Branco,0.016756846
TX_RESP_Q23d_Sempre,0.0122138485
TX_RESP_Q17_Somente em escola pública,0.011948788
TX_RESP_Q20a_C,0.011599245
"TX_RESP_Q18_Sim, duas vezes ou mais",0.011047391
TX_RESP_Q23b_Várias vezes,0.009908763
TX_RESP_Q23f_Várias vezes,0.00980702
"TX_RESP_Q10_Asfalto ou Calcamento: Sim, Água tratada: Não, Iluminacão: Sim",0.009650853
TX_RESP_Q20e_Não uso meu tempo para isso,0.009568439
TX_RESP_Q20d_Mais de 2 horas,0.009045912
TX_RESP_Q09d_Sempre ou quase sempre,0.0077892146
TX_RESP_Q11a_1,0.006936971
TX_RESP_Q23f_Sempre,0.0068933526
TX_RESP_Q08_Ensino Superior completo,0.0066032154
TX_RESP_Q23c_Várias vezes,0.0065938733
TX_RESP_Q16_8 anos ou mais,0.0064868806
TX_RESP_Q01_Masculino,0.0064311824
TX_RESP_Q09d_Nunca ou quase nunca,0.0063513513
TX_RESP_Q23g_Sempre,0.006301101
TX_RESP_Q23d_Nunca ou quase nunca,0.005902771
TX_RESP_Q23h_Sempre,0.005714006
TX_RESP_Q23e_Sempre,0.005666397
TX_RESP_Q23b_Nunca ou quase nunca,0.0055971555
TX_RESP_Q12h_B,0.005442036
TX_RESP_Q20e_Menos de 1 hora,0.0051565967
TX_RESP_Q05_Sim,0.005043099
TX_RESP_Q20c_Não uso meu tempo para isso,0.0048392634
TX_RESP_Q11g_3 ou mais,0.0046441173
"TX_RESP_Q10_Asfalto ou Calcamento: Sim, Água tratada: Sim, Iluminacão: Sim",0.00460451
TX_RESP_Q07_Ensino Superior completo,0.004554175
TX_RESP_Q21_Somente continuar estudando,0.0044101733
TX_RESP_Q20a_B,0.004382588
TX_RESP_Q11b_3 ou mais,0.004198953
TX_RESP_Q23g_Várias vezes,0.004028797
TX_RESP_Q06_Nenhum,0.0038348867
TX_RESP_Q23c_Sempre,0.003706603
TX_RESP_Q11c_3 ou mais,0.003551973
TX_RESP_Q16_4 ou 5 anos,0.003475656
TX_RESP_Q20c_Mais de 2 horas,0.0033643548
TX_RESP_Q09c_Sempre ou quase sempre,0.003338726
TX_RESP_Q11h_1,0.0033133863
TX_RESP_Q09a_Nunca ou quase nunca,0.0031848731
TX_RESP_Q11c_2,0.003172302
TX_RESP_Q12a_B,0.0029690522
TX_RESP_Q02_21 anos ou mais,0.0028891892
TX_RESP_Q11a_3 ou mais,0.0028701262
