Variavel,Importancia
TX_RESP_Q17_Somente em escola pública,0.051507626
TX_RESP_Q20d_Não uso meu tempo para isso,0.030911706
TX_RESP_Q22_Sim,0.030768698
TX_RESP_Q21_Somente trabalhar,0.029595204
TX_RESP_Q14_À pé,0.028596077
"TX_RESP_Q18_Sim, uma vez",0.028581839
TX_RESP_Q23a_Sempre,0.025768923
TX_RESP_Q20a_D,0.021003354
TX_RESP_Q23f_Várias vezes,0.02058782
TX_RESP_Q04_Branco,0.018006317
TX_RESP_Q23a_Várias vezes,0.016167432
TX_RESP_Q01_Masculino,0.014281832
TX_RESP_Q23d_Nunca ou quase nunca,0.0134741105
TX_RESP_Q23d_Sempre,0.012682689
"TX_RESP_Q18_Sim, duas vezes ou mais",0.012566514
TX_RESP_Q23a_Nunca ou quase nunca,0.012478229
TX_RESP_Q23b_Várias vezes,0.009845594
TX_RESP_Q08_Ensino Superior completo,0.009763488
TX_RESP_Q07_Ensino Superior completo,0.00919463
TX_RESP_Q23c_Várias vezes,0.007971114
"TX_RESP_Q10_Asfalto ou Calcamento: Sim, Água tratada: Não, Iluminacão: Sim",0.007955774
TX_RESP_Q09d_Sempre ou quase sempre,0.007585585
TX_RESP_Q11c_3 ou mais,0.0066287415
TX_RESP_Q20e_Não uso meu tempo para isso,0.0065999185
TX_RESP_Q05_Sim,0.0065565486
TX_RESP_Q21_Continuar estudando e trabalhar,0.00638266
TX_RESP_Q20c_Mais de 2 horas,0.0062995725
TX_RESP_Q20a_C,0.0061555295
TX_RESP_Q04_Preto,0.0061356826
TX_RESP_Q02_19 anos,0.0057841255
TX_RESP_Q11c_2,0.005538738
TX_RESP_Q23c_Sempre,0.005429071
TX_RESP_Q21_Somente continuar estudando,0.0051137423
TX_RESP_Q23h_Sempre,0.004809379
TX_RESP_Q20d_Mais de 2 horas,0.0047162627
TX_RESP_Q16_8 anos ou mais,0.004687841
TX_RESP_Q23g_Sempre,0.004660795
TX_RESP_Q11b_3 ou mais,0.0044412315
TX_RESP_Q23i_Nunca ou quase nunca,0.0043918076
TX_RESP_Q23f_Nunca ou quase nunca,0.0043655713
TX_RESP_Q23g_Várias vezes,0.004325135
TX_RESP_Q09d_Nunca ou quase nunca,0.004227
TX_RESP_Q12h_B,0.004225625
TX_RESP_Q23e_Várias vezes,0.003872055
TX_RESP_Q11h_1,0.003859887
IN_PUBLICA_Pública,0.0038419578
ID_AREA_Interior,0.0038141436
TX_RESP_Q23b_Nunca ou quase nunca,0.0037319858
"TX_RESP_Q10_Asfalto ou Calcamento: Sim, Água tratada: Sim, Iluminacão: Sim",0.0036226287
TX_RESP_Q23c_Nunca ou quase nunca,0.003589174
TX_RESP_Q11c_1,0.0035322544
TX_RESP_Q09a_Nunca ou quase nunca,0.003474235
TX_RESP_Q23e_Nunca ou quase nunca,0.0033962918
"TX_RESP_Q07_Ensino Fundamental, até o 5º ano",0.0033549543
TX_RESP_Q12a_B,0.0031898255
TX_RESP_Q02_17 anos,0.003146099
TX_RESP_Q14_De metrô,0.0030150379
"TX_RESP_Q06_Mãe ou Madrasta, Pai ou Padrasto, Irmão(s) ou Irmã(s), Avô ou Avó",0.003007586
TX_RESP_Q20a_B,0.002993398
TX_RESP_Q16_4 ou 5 anos,0.0029559091
TX_RESP_Q06_Nenhum,0.0029256877
TX_RESP_Q09c_Sempre ou quase sempre,0.0028912772
TX_RESP_Q11a_3 ou mais,0.0027405606
TX_RESP_Q20e_Menos de 1 hora,0.002670239
TX_RESP_Q20c_Não uso meu tempo para isso,0.0025943043
TX_RESP_Q09e_Sempre ou quase sempre,0.0025761141
TX_RESP_Q13_Mais de uma hora,0.0025131993
TX_RESP_Q11b_2,0.0025104724
"TX_RESP_Q10_Asfalto ou Calcamento: Sim, Água tratada: Não, Iluminacão: Não",0.002478931
TX_RESP_Q11a_1,0.0024635287
TX_RESP_Q11b_1,0.0024559356
TX_RESP_Q20e_Mais de 2 horas,0.0024508247
TX_RESP_Q23b_Sempre,0.0024129658
TX_RESP_Q23f_Sempre,0.0023979167
TX_RESP_Q06_Irmão(s) ou Irmã(s),0.0023654827
TX_RESP_Q09e_Nunca ou quase nunca,0.0022871308
TX_RESP_Q16_6 ou 7 anos,0.0022786893
"TX_RESP_Q06_Mãe ou Madrasta, Pai ou Padrasto, Irmão(s) ou Irmã(s)",0.0022622705
TX_RESP_Q20c_Menos de 1 hora,0.0022012566
"TX_RESP_Q06_Irmão(s) ou Irmã(s), Avô ou Avó",0.0021964752
TX_RESP_Q13_Menos de 30 minutos,0.0021788592
TX_RESP_Q11d_1,0.002150166
"TX_RESP_Q08_Ensino Fundamental, até o 5º ano",0.0021261636
TX_RESP_Q23i_Várias vezes,0.002115234
TX_RESP_Q17_Somente em escola particular,0.0021051683
TX_RESP_Q07_Não completou o 5º ano do Ensino Fundamental,0.002092532
TX_RESP_Q20b_Mais de 2 horas,0.0020916578
"TX_RESP_Q19_Sim, uma vez",0.0020858294
TX_RESP_Q09b_Nunca ou quase nunca,0.0020603102
TX_RESP_Q11f_3 ou mais,0.0020413613
TX_RESP_Q23e_Sempre,0.002001246
TX_RESP_Q02_20 anos,0.001995469
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Microondas, Aspirador, Lavadora, Freezer, Garagem",0.0019809233
TX_RESP_Q11e_3 ou mais,0.0019787517
TX_RESP_Q11g_3 ou mais,0.0019765028
"TX_RESP_Q06_Pai ou Padrasto, Irmão(s) ou Irmã(s), Avô ou Avó",0.0019731866
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Microondas, Lavadora",0.0019645598
TX_RESP_Q03_Outra língua,0.0019448997
TX_RESP_Q11f_1,0.0019389951
TX_RESP_Q02_21 anos ou mais,0.0019232464
TX_RESP_Q12c_B,0.0018902342
TX_RESP_Q08_Não completou o 5º ano do Ensino Fundamental,0.0018800419
TX_RESP_Q09b_Sempre ou quase sempre,0.0018618894
TX_RESP_Q06_Pai ou Padrasto,0.0018544416
TX_RESP_Q11g_1,0.0018293116
TX_RESP_Q23d_Várias vezes,0.0018013829
"TX_RESP_Q12_Wi-Fi, Mesa, Microondas, Aspirador, Lavadora, Freezer",0.0017992954
TX_RESP_Q11e_1,0.0017990824
TX_RESP_Q23i_Sempre,0.0017981349
"TX_RESP_Q12_Freezer, Garagem",0.0017813031
TX_RESP_Q12i_B,0.0017739212
"TX_RESP_Q12_Wi-Fi, Microondas, Aspirador, Lavadora, Freezer, Garagem",0.0017680333
"TX_RESP_Q12_Wi-Fi, Quarto, Microondas, Aspirador, Lavadora, Freezer, Garagem",0.001767467
TX_RESP_Q23h_Várias vezes,0.0017654453
"TX_RESP_Q12_Wi-Fi, Lavadora, Freezer",0.0017605895
"TX_RESP_Q12_Lavadora, Freezer, Garagem",0.0017537497
"TX_RESP_Q12_Mesa, Lavadora, Freezer, Garagem",0.0017523256
TX_RESP_Q08_Ensino Médio completo,0.0017450629
TX_RESP_Q07_Ensino Médio completo,0.0017183557
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Microondas, Lavadora, Freezer",0.0017131298
TX_RESP_Q12g_B,0.0017124139
"TX_RESP_Q10_Asfalto ou Calcamento: Sim, Água tratada: Sim, Iluminacão: Não",0.001686365
TX_RESP_Q09f_Sempre ou quase sempre,0.0016851912
TX_RESP_Q12d_B,0.0016711121
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Microondas, Aspirador, Lavadora, Garagem",0.0016691016
"TX_RESP_Q12_Wi-Fi, Mesa, Lavadora, Freezer, Garagem",0.0016667469
TX_RESP_Q12f_B,0.0016644801
"TX_RESP_Q06_Mãe ou Madrasta, Pai ou Padrasto",0.0016627524
"TX_RESP_Q06_Pai ou Padrasto, Irmão(s) ou Irmã(s)",0.0016610414
"TX_RESP_Q12_Wi-Fi, Microondas, Lavadora",0.0016574328
"TX_RESP_Q12_Mesa, Aspirador, Lavadora, Freezer, Garagem",0.0016528133
"TX_RESP_Q12_Wi-Fi, Mesa, Microondas, Aspirador, Lavadora, Freezer, Garagem",0.0016526433
"TX_RESP_Q06_Mãe ou Madrasta, Irmão(s) ou Irmã(s)",0.0016465749
TX_RESP_Q04_Indígena,0.0016449926
"TX_RESP_Q12_Wi-Fi, Mesa, Microondas, Lavadora, Garagem",0.0016434761
"TX_RESP_Q10_Asfalto ou Calcamento: Não, Água tratada: Sim, Iluminacão: Sim",0.0016413247
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Lavadora, Freezer",0.0016411825
TX_RESP_Q09a_Sempre ou quase sempre,0.0016248724
TX_RESP_Q12_Wi-Fi,0.0016242354
TX_RESP_Q14_De bicicleta,0.0016224835
TX_RESP_Q12b_B,0.0016189892
TX_RESP_Q09f_Nunca ou quase nunca,0.0016109229
"TX_RESP_Q12_Wi-Fi, Quarto, Freezer, Garagem",0.0016043818
"TX_RESP_Q12_Mesa, Microondas, Lavadora, Freezer, Garagem",0.0016010784
TX_RESP_Q23g_Nunca ou quase nunca,0.0015984975
"TX_RESP_Q19_Sim, duas vezes ou mais",0.0015973245
"TX_RESP_Q06_Mãe ou Madrasta, Irmão(s) ou Irmã(s), Avô ou Avó",0.0015936416
"TX_RESP_Q12_Wi-Fi, Mesa, Microondas, Lavadora, Freezer",0.0015857263
TX_RESP_Q12e_B,0.0015833142
TX_RESP_Q20b_Não uso meu tempo para isso,0.0015785181
"TX_RESP_Q12_Wi-Fi, Quarto, Aspirador, Lavadora, Freezer, Garagem",0.0015709888
TX_RESP_Q14_Outros meios de transporte,0.0015694224
"TX_RESP_Q12_Wi-Fi, Quarto, Microondas, Lavadora, Freezer, Garagem",0.0015585441
"TX_RESP_Q12_Wi-Fi, Mesa, Microondas, Aspirador, Lavadora, Garagem",0.0015557066
"TX_RESP_Q12_Wi-Fi, Microondas, Aspirador, Lavadora, Freezer",0.0015489224
"TX_RESP_Q06_Mãe ou Madrasta, Pai ou Padrasto, Avô ou Avó",0.0015443843
TX_RESP_Q23h_Nunca ou quase nunca,0.0015367435
"TX_RESP_Q12_Wi-Fi, Aspirador, Lavadora, Freezer, Garagem",0.0015360146
"TX_RESP_Q12_Wi-Fi, Mesa, Lavadora, Garagem",0.0015326114
"TX_RESP_Q12_Wi-Fi, Mesa, Aspirador, Lavadora, Freezer, Garagem",0.0015297668
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Lavadora, Freezer, Garagem",0.001527226
"TX_RESP_Q12_Mesa, Lavadora",0.0015225646
"TX_RESP_Q12_Wi-Fi, Microondas, Aspirador, Lavadora, Garagem",0.0015177083
"TX_RESP_Q12_Quarto, Mesa, Aspirador, Lavadora, Freezer, Garagem",0.0015133652
TX_RESP_Q11d_3 ou mais,0.0015085555
"TX_RESP_Q12_Wi-Fi, Mesa, Microondas, Aspirador, Freezer, Garagem",0.0015082969
"TX_RESP_Q06_Mãe ou Madrasta, Avô ou Avó",0.0015036246
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Microondas, Aspirador, Freezer, Garagem",0.001500695
ID_LOCALIZACAO_Urbana,0.0014999475
TX_RESP_Q20d_Menos de 1 hora,0.0014993694
TX_RESP_Q11g_2,0.0014992139
"TX_RESP_Q10_Asfalto ou Calcamento: Não, Água tratada: Sim, Iluminacão: Não",0.0014939684
"TX_RESP_Q12_Quarto, Mesa, Microondas, Aspirador, Lavadora, Freezer, Garagem",0.0014916023
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Microondas, Aspirador, Lavadora",0.0014889213
"TX_RESP_Q12_Wi-Fi, Quarto, Lavadora",0.0014874024
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Garagem",0.0014769286
TX_RESP_Q11a_2,0.0014723712
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Lavadora",0.0014665204
TX_RESP_Q09c_Nunca ou quase nunca,0.0014662351
"TX_RESP_Q06_Pai ou Padrasto, Avô ou Avó",0.0014606875
"TX_RESP_Q12_Wi-Fi, Quarto, Lavadora, Freezer, Garagem",0.0014599393
"TX_RESP_Q12_Wi-Fi, Microondas, Lavadora, Garagem",0.0014518615
"TX_RESP_Q12_Mesa, Microondas, Aspirador, Lavadora, Freezer, Garagem",0.0014477333
